LATITUDE,LONGITUDE,FIRE_YEAR,FIRE_SIZE,STATE
40.03694444,-121.0058333,2005,0.1,CA
38.93305556,-120.4044444,2004,0.25,CA
38.98416667,-120.7355556,2004,0.1,CA
38.55916667,-119.9133333,2004,0.1,CA
38.55916667,-119.9330556,2004,0.1,CA
38.63527778,-120.1036111,2004,0.1,CA
38.68833333,-120.1533333,2004,0.1,CA
40.96805556,-122.4338889,2005,0.8,CA
41.23361111,-122.2833333,2005,1,CA
38.54833333,-120.1491667,2004,0.1,CA
38.69166667,-120.1597222,2004,0.1,CA
38.5275,-120.1061111,2004,0.1,CA
38.78666667,-120.1933333,2004,0.1,CA
38.43333333,-120.51,2004,6,CA
38.67583333,-120.2797222,2004,0.2,CA
38.56416667,-120.5422222,2004,0.1,CA
38.52333333,-120.2116667,2004,16823,CA
38.78,-120.26,2004,7700,CA
38.945,-120.4116667,2004,0.1,CA
33.44083333,-105.7205556,2004,0.1,NM
33.30722222,-105.6286111,2004,0.1,NM
33.44444444,-105.7680556,2004,0.1,NM
33.55944444,-105.7661111,2004,0.1,NM
33.30805556,-105.5261111,2004,0.25,NM
33.54527778,-105.2294444,2004,2.5,NM
33.31583333,-105.5122222,2004,10,NM
33.44444444,-105.6311111,2004,8.2,NM
33.36805556,-105.5072222,2004,0.1,NM
33.38527778,-105.6386111,2004,0.25,NM
33.38277778,-105.7002778,2004,0.25,NM
33.37972222,-105.6802778,2004,0.1,NM
43.99555556,-121.4141667,2005,0.1,OR
33.49666667,-105.7397222,2004,0.1,NM
33.41777778,-105.7075,2004,0.1,NM
33.25527778,-105.6261111,2004,0.1,NM
44.04333333,-121.3861111,2005,0.1,OR
35.22833333,-82.88444444,2005,0.6,NC
35.00027778,-83.35111111,2005,50.3,NC
35.93166667,-81.71666667,2005,0.1,NC
36.00166667,-81.59,2005,125,NC
35.985,-81.85166667,2005,25,NC
35.9,-81.68333333,2005,3,NC
36.035,-81.585,2005,10,NC
43.95555556,-121.3522222,2005,0.1,OR
42.35472222,-105.5055556,2005,0.25,WY
35.00138889,-83.38416667,2005,10,NC
44.91111111,-119.6961111,2005,5,OR
39.29222222,-105.1830556,2005,0.5,CO
43.72527778,-121.5741667,2005,0.1,OR
44.41,-121.3155556,2005,0.1,OR
42.13388889,-121.2341667,2005,0.1,OR
42.31138889,-120.9027778,2005,0.1,OR
42.95083333,-120.8361111,2005,0.1,OR
44.81611111,-107.3311111,2005,0.1,WY
46.22083333,-117.785,2005,0.3,WA
42.38694444,-120.8086111,2005,0.1,OR
42.51472222,-121.12,2005,2,OR
48.92194444,-115.0925,2005,0.5,MT
48.99833333,-115.1655556,2005,9,MT
42.92138889,-121.0308333,2005,0.1,OR
47.66555556,-115.5691667,2005,5,MT
38.91333333,-105.9836111,2005,0.2,CO
39.10027778,-106.3675,2005,0.1,CO
40.08888889,-111.3783333,2005,0.1,UT
48.89944444,-115.1069444,2005,2,MT
48.90694444,-115.0766667,2005,0.1,MT
48.40777778,-115.5583333,2005,0.1,MT
48.40777778,-115.5577778,2005,0.1,MT
42.30277778,-120.5436111,2005,0.1,OR
42.13694444,-120.7016667,2005,0.5,OR
48.96666667,-115.2066667,2005,17,MT
48.96444444,-115.1858333,2005,0.1,MT
48.89444444,-115.1652778,2005,3,MT
48.81694444,-115.1113889,2005,0.25,MT
48.9625,-115.0855556,2005,0.1,MT
35.23638889,-112.2163889,2005,0.5,AZ
41.03722222,-123.5330556,2005,0.1,CA
44.33555556,-106.9519444,2005,0.25,WY
45.55444444,-118.1019444,2005,0.1,OR
48.28222222,-115.5105556,2005,0.1,MT
48.41666667,-115.5461111,2005,0.1,MT
48.34888889,-115.4908333,2005,0.1,MT
48.40833333,-115.5583333,2005,0.1,MT
32.56055556,-109.7725,2005,0.1,AZ
48.22805556,-115.4802778,2005,0.3,MT
32.46722222,-104.9416667,2005,45.6,NM
32.68555556,-109.8691667,2005,0.5,AZ
34.17444444,-117.765,2005,0.1,CA
34.15388889,-117.8411111,2005,0.5,CA
44.98861111,-118.9388889,2005,0.1,OR
38.98388889,-120.8025,2005,0.1,CA
44.01277778,-103.3825,2005,0.1,SD
36.01666667,-106.7166667,2005,0.1,NM
42.62083333,-120.845,2005,0.1,OR
32.75361111,-109.8313889,2005,0.1,AZ
38.70027778,-119.8405556,2005,0.1,CA
38.45361111,-119.4586111,2005,0.01,CA
36.66944444,-107.2536111,2005,0.1,NM
36.87638889,-107.2191667,2005,0.25,NM
48.45833333,-115.6666667,2005,0.1,MT
48.40833333,-115.5583333,2005,0.1,MT
48.76666667,-114.8783333,2005,1.2,MT
48.41472222,-115.5480556,2005,0.1,MT
48.40833333,-115.5583333,2005,0.1,MT
43.64527778,-109.9125,2005,0.1,WY
